Ticker,Asset_Class,Category,Mean_Return,Volatility,Sharpe_Ratio,Skewness,Kurtosis,Downside_Volatility,Max_Drawdown,Percentile_5,Percentile_95,Rolling_Volatility,Win_Rate,Gain_Loss_Ratio,Correlation_SPY,Beta_SPY
MDB,Stock,Tech,-0.0526416050331889,0.7136319420512106,-0.0737657634576723,0.1229008681958396,7.255085273414595,0.5045293201999301,-0.765225716244699,-0.0650650120393471,0.0643251867714583,0.6700917123771573,0.4816132858837485,1.0617996884489649,0.5505961506878361,2.263471829118441
TEAM,Stock,Tech,0.0067945853107746,0.6133207585125501,0.011078355357241,-0.2272204979177686,6.119617377585296,0.4469347511549913,-0.7386322842961427,-0.0629451804976889,0.060443430179548,0.5843945622987241,0.505338078291815,0.9808207912704168,0.5528170395510922,1.9531550780542923
ZM,Stock,Tech,-0.2417587077161385,0.4619254536878165,-0.5233716951210197,0.0112429792575892,3.5547059412999635,0.3201557347057186,-0.7908427474105771,-0.0476620948023882,0.044638523718996,0.429229044357825,0.4697508896797153,1.022676069735042,0.5509749424103804,1.4661262997629545
DOCU,Stock,Tech,-0.104849365114272,0.6303805630308135,-0.1663270907500156,-1.303795315959372,21.368735334471168,0.5123633665532696,-0.8560917300939288,-0.0548601809929791,0.0564571743964524,0.5491477907879554,0.4863582443653618,1.0154839380150955,0.5443209933516562,1.9766307184401288
UBER,Stock,Tech,0.2857863591660341,0.4844110091525066,0.5899666889611509,0.5245823085980112,3.3227365249488594,0.2979359654447037,-0.5528846189916725,-0.0447321298500001,0.0521153231586939,0.4617572581335046,0.4958481613285884,1.1157061626776643,0.5258596001293261,1.4674099301573145
LYFT,Stock,Tech,-0.1743239678968109,0.7293432229290644,-0.2390149965289601,-0.2814837826620683,12.21879175893335,0.5316625060491319,-0.8497555523642859,-0.0595278525727087,0.0652995162657113,0.7001408936207072,0.4661921708185053,1.0790314233824652,0.416613097605826,1.750380688570838
DASH,Stock,Tech,0.1451411203938256,0.5783034531239737,0.2509774403209572,0.042111644517873,1.8228963697261005,0.4046658491628046,-0.8249379958548093,-0.0644484438652536,0.0615255132067991,0.5161552774546785,0.5029655990510083,1.0256150349932505,0.5790542751883737,1.9290465155554504
PINS,Stock,Tech,0.074019783096528,0.5724617214735412,0.1293008428685815,0.3959184064707114,7.256641612718818,0.3923693279367145,-0.6476736992930247,-0.0463454707302767,0.0543812260844496,0.5347049501277019,0.4851720047449585,1.0823498535893403,0.498619392758521,1.6443083408727244
ETSY,Stock,Retail,-0.3449587623505865,0.5650003991801796,-0.6105460506773528,0.0935090125589684,2.375203799407819,0.3749866211204927,-0.8504597319785564,-0.0581465130509226,0.055760179689209,0.5369119988389025,0.4661921708185053,1.0201123810995918,0.5319322254763702,1.7313014719387074
W,Stock,Retail,-0.1926202691146978,0.8509432383232597,-0.2263608904093841,0.354943320413829,2.7418368328195117,0.5200852062038345,-0.8985035098163848,-0.0836040085716037,0.0902131859151364,0.8123401869064809,0.4780545670225385,1.0459255568761732,0.5664489182328537,2.7767001614728373
